target_time_utc,observed,prediction,q10,q90
2016-10-31T08:00:00.000Z,6,72,,
2016-11-01T09:00:00.000Z,63,109,,
2016-11-02T10:00:00.000Z,118,24,,
2016-11-03T11:00:00.000Z,260,31,,
2016-11-04T12:00:00.000Z,243,10,,
2016-11-05T13:00:00.000Z,122,39,,
2016-11-06T14:00:00.000Z,111,3,,
2016-11-07T15:00:00.000Z,6,9,,
2016-11-08T16:00:00.000Z,90,86,,
2016-11-09T17:00:00.000Z,219,144,,
2016-11-10T18:00:00.000Z,35,252,,
2016-11-11T19:00:00.000Z,66,213,,
2016-11-12T20:00:00.000Z,41,74,,
2016-11-13T21:00:00.000Z,60,64,,
2016-11-14T22:00:00.000Z,11,14,,
2016-11-15T23:00:00.000Z,80,77,,
2016-11-17T00:00:00.000Z,53,218,,
2016-11-18T01:00:00.000Z,156,144,,
2016-11-19T02:00:00.000Z,21,44,,
2016-11-20T03:00:00.000Z,57,80,,
2016-11-21T04:00:00.000Z,10,6,,
2016-11-22T05:00:00.000Z,9,26,,
2016-11-23T06:00:00.000Z,38,94,,
2016-11-24T07:00:00.000Z,72,79,,
2016-11-26T09:00:00.000Z,263,170,,
2016-11-27T10:00:00.000Z,8,21,,
2016-11-28T11:00:00.000Z,74,7,,
2016-11-29T12:00:00.000Z,136,14,,
2016-11-30T13:00:00.000Z,4,4,,
2016-12-01T14:00:00.000Z,127,151,,
2016-12-02T15:00:00.000Z,160,379,,
2016-12-03T16:00:00.000Z,380,354,,
2016-12-04T17:00:00.000Z,106,35,,
2016-12-05T18:00:00.000Z,46,102,,
2016-12-06T19:00:00.000Z,108,115,,
2016-12-07T20:00:00.000Z,178,3,,
2016-12-08T21:00:00.000Z,9,70,,
2016-12-09T22:00:00.000Z,62,102,,
2016-12-10T23:00:00.000Z,112,318,,
2016-12-12T00:00:00.000Z,230,82,,
2016-12-13T01:00:00.000Z,3,69,,
2016-12-14T02:00:00.000Z,18,46,,
2016-12-15T03:00:00.000Z,9,30,,
2016-12-16T04:00:00.000Z,51,6,,
2016-12-17T05:00:00.000Z,193,41,,
2016-12-18T06:00:00.000Z,241,171,,
2016-12-19T07:00:00.000Z,202,235,,
2016-12-20T08:00:00.000Z,204,24,,
2016-12-21T09:00:00.000Z,348,43,,
2016-12-22T10:00:00.000Z,10,8,,
2016-12-23T11:00:00.000Z,75,233,,
2016-12-24T12:00:00.000Z,156,250,,
2016-12-25T13:00:00.000Z,176,269,,
2016-12-26T14:00:00.000Z,17,326,,
2016-12-28T16:00:00.000Z,15,388,,
2016-12-29T17:00:00.000Z,330,20,,
2016-12-31T19:00:00.000Z,445,161,,
2017-01-01T20:00:00.000Z,340,106,,
2017-01-02T21:00:00.000Z,234,14,,
2017-01-03T22:00:00.000Z,471,128,,
2017-01-04T23:00:00.000Z,301,14,,
2017-01-07T01:00:00.000Z,184,195,,
2017-01-08T02:00:00.000Z,21,465,,
2017-01-09T03:00:00.000Z,12,29,,
2017-01-11T05:00:00.000Z,64,184,,
2017-01-12T06:00:00.000Z,77,236,,
2017-01-13T07:00:00.000Z,7,220,,
2017-01-14T08:00:00.000Z,18,88,,
2017-01-15T09:00:00.000Z,77,24,,
2017-01-17T11:00:00.000Z,159,85,,
2017-01-18T12:00:00.000Z,45,41,,
2017-01-19T13:00:00.000Z,3,27,,
2017-01-20T14:00:00.000Z,68,15,,
2017-01-21T15:00:00.000Z,18,33,,
2017-01-22T16:00:00.000Z,27,75,,
2017-01-23T17:00:00.000Z,52,141,,
2017-01-24T18:00:00.000Z,144,45,,
2017-01-26T20:00:00.000Z,5,8,,
2017-01-27T21:00:00.000Z,568,52,,
2017-01-28T22:00:00.000Z,6,14,,
2017-01-29T23:00:00.000Z,8,14,,
2017-01-31T00:00:00.000Z,89,71,,
2017-02-01T01:00:00.000Z,5,146,,
2017-02-02T02:00:00.000Z,73,246,,
2017-02-03T03:00:00.000Z,98,34,,
2017-02-04T04:00:00.000Z,279,274,,
2017-02-05T05:00:00.000Z,6,8,,
2017-02-06T06:00:00.000Z,6,8,,
2017-02-07T07:00:00.000Z,58,82,,
2017-02-08T08:00:00.000Z,16,15,,
2017-02-10T10:00:00.000Z,4,243,,
2017-02-11T11:00:00.000Z,62,331,,
2017-02-12T12:00:00.000Z,99,6,,
2017-02-13T13:00:00.000Z,90,37,,
2017-02-14T14:00:00.000Z,220,117,,
2017-02-15T15:00:00.000Z,266,5,,
2017-02-17T17:00:00.000Z,69,20,,
2017-02-18T18:00:00.000Z,132,124,,
2017-02-19T19:00:00.000Z,3,125,,
2017-02-23T23:00:00.000Z,34,11,,
2017-02-25T00:00:00.000Z,20,64,,
2017-02-26T01:00:00.000Z,31,151,,
