model,station,origin,horizon,observed,prediction,error,change_24h,tags
Seasonal day,Aotizhongxin,2017-01-27 23:00:00+08:00,6,713.0,9.0,-704.0,704.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Aotizhongxin,2017-01-29 00:00:00+08:00,6,9.0,697.0,688.0,-688.0,rapid fall; lag-like forecast
Seasonal day,Shunyi,2017-01-27 23:00:00+08:00,6,640.0,10.0,-630.0,630.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Nongzhanguan,2017-01-27 23:00:00+08:00,6,632.0,7.0,-625.0,625.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Wanliu,2017-01-29 00:00:00+08:00,6,6.0,625.0,619.0,-619.0,rapid fall; lag-like forecast
Seasonal day,Wanshouxigong,2017-01-27 23:00:00+08:00,6,621.0,5.0,-616.0,616.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Shunyi,2017-01-27 23:00:00+08:00,1,609.0,7.0,-602.0,602.0,rapid rise; high episode; lag-like forecast
Seasonal day,Tiantan,2017-01-27 23:00:00+08:00,6,594.0,4.0,-590.0,590.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Shunyi,2017-01-29 00:00:00+08:00,6,4.0,593.0,589.0,-589.0,rapid fall; wind direction change; lag-like forecast
Seasonal day,Changping,2016-12-22 12:00:00+08:00,1,18.0,596.0,578.0,-578.0,rapid fall
Seasonal day,Dongsi,2017-01-27 23:00:00+08:00,6,580.0,9.0,-571.0,571.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Wanliu,2017-01-27 23:00:00+08:00,6,568.0,3.0,-565.0,565.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal day,Dongsi,2017-01-29 00:00:00+08:00,6,16.0,575.0,559.0,-559.0,rapid fall; lag-like forecast
Seasonal day,Guanyuan,2017-01-29 00:00:00+08:00,6,10.0,567.0,557.0,-557.0,rapid fall; lag-like forecast
Seasonal day,Wanshouxigong,2017-01-29 00:00:00+08:00,6,13.0,550.0,537.0,-537.0,rapid fall; lag-like forecast
Seasonal day,Wanshouxigong,2017-01-29 00:00:00+08:00,1,280.0,804.0,524.0,-524.0,rapid fall; high episode
Seasonal day,Gucheng,2017-01-29 00:00:00+08:00,6,13.0,526.0,513.0,-513.0,rapid fall; lag-like forecast
Seasonal day,Changping,2016-12-21 11:00:00+08:00,24,15.0,517.0,502.0,-502.0,rapid fall; wind direction change; lag-like forecast
Seasonal day,Gucheng,2017-01-29 00:00:00+08:00,1,238.0,739.0,501.0,-501.0,rapid fall; high episode
Seasonal day,Guanyuan,2016-12-22 12:00:00+08:00,6,3.0,495.0,492.0,-492.0,rapid fall; lag-like forecast
Seasonal week,Aotizhongxin,2017-01-27 23:00:00+08:00,6,713.0,69.0,-644.0,704.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Gucheng,2016-12-26 16:00:00+08:00,24,18.0,634.0,616.0,6.0,wind direction change
Seasonal week,Gucheng,2016-12-20 10:00:00+08:00,6,634.0,25.0,-609.0,417.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Shunyi,2017-01-27 23:00:00+08:00,6,640.0,63.0,-577.0,630.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Changping,2016-12-21 11:00:00+08:00,1,576.0,6.0,-570.0,19.0,high episode; wind direction change; lag-like forecast
Seasonal week,Wanshouxigong,2017-01-27 23:00:00+08:00,6,621.0,82.0,-539.0,616.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Nongzhanguan,2017-01-27 23:00:00+08:00,6,632.0,97.0,-535.0,625.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Wanliu,2017-01-27 23:00:00+08:00,6,568.0,52.0,-516.0,565.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Changping,2016-12-20 10:00:00+08:00,1,552.0,37.0,-515.0,376.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Gucheng,2016-12-19 09:00:00+08:00,24,521.0,9.0,-512.0,406.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Tiantan,2017-01-27 23:00:00+08:00,6,594.0,88.0,-506.0,590.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Dongsi,2017-01-04 00:00:00+08:00,1,662.0,158.0,-504.0,382.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Huairou,2017-01-08 04:00:00+08:00,1,24.0,520.0,496.0,-147.0,rapid fall; wind direction change; lag-like forecast
Seasonal week,Guanyuan,2016-12-26 16:00:00+08:00,24,13.0,508.0,495.0,-3.0,wind direction change; lag-like forecast
Seasonal week,Wanshouxigong,2017-01-10 06:00:00+08:00,24,68.0,557.0,489.0,64.0,rapid rise; wind direction change
Seasonal week,Shunyi,2017-01-27 23:00:00+08:00,1,609.0,121.0,-488.0,602.0,rapid rise; high episode; lag-like forecast
Seasonal week,Gucheng,2016-12-20 10:00:00+08:00,1,495.0,11.0,-484.0,335.0,rapid rise; high episode; wind direction change
Seasonal week,Dongsi,2017-01-27 23:00:00+08:00,6,580.0,98.0,-482.0,571.0,rapid rise; high episode; wind direction change; lag-like forecast
Seasonal week,Guanyuan,2016-12-20 10:00:00+08:00,6,508.0,28.0,-480.0,306.0,rapid rise; high episode; lag-like forecast
Seasonal week,Guanyuan,2016-12-27 17:00:00+08:00,24,4.0,480.0,476.0,-23.0,wind direction change; lag-like forecast
